
 iteration number 2 ; error 1.3171120309242976 ; parameters [0.73907594 0.50014699 0.20780082 1.         0.61103565] 

 iteration number 1 ; error 11.770556718734754 ; parameters [0.41339513 0.76199521 0.05488398 0.33777055 0.54877288] 

 iteration number 2 ; error 1.5539369086632737 ; parameters [0.344258   0.48681241 0.77970119 0.26863341 0.27359009] 

 iteration number 3 ; error 1.3270061334691396 ; parameters [0.3337413  0.49999501 0.77970119 1.         0.27359009] 

 iteration number 1 ; error 8.04289551433205 ; parameters [0.2732685  0.67070804 0.63226306 0.0919934  0.95134536] 

 iteration number 2 ; error 1.6974810424290934 ; parameters [0.75653424 0.47905769 0.94422379 0.18366924 0.96648079] 

 iteration number 3 ; error 1.691500121136358 ; parameters [0.9395357  0.47905769 0.94422379 0.18366924 0.96648079] 

 iteration number 4 ; error 1.3408435409706574 ; parameters [0.97628618 0.49999324 0.94422379 1.         0.96648079] 

 iteration number 1 ; error 6.807389807856416 ; parameters [0.22399996 0.34669495 0.75546589 0.3944657  0.28837648] 

 iteration number 2 ; error 1.3230686839757295 ; parameters [0.42976221 0.49999547 0.75546589 1.         0.28837648] 

 iteration number 1 ; error 1.5588998564134866 ; parameters [0.06723055 0.48137275 0.90489763 0.78204536 0.34727873] 

 iteration number 2 ; error 1.3416080027587607 ; parameters [0.15517983 0.49999453 0.90489763 1.         0.34727873] 

 iteration number 1 ; error 12.048630036756666 ; parameters [0.1361424  0.75929058 0.44693163 0.04748829 0.06041373] 

 iteration number 2 ; error 7.288835739670665 ; parameters [0.03208922 0.65523741 0.34287846 0.02686667 0.95636055] 

 iteration number 3 ; error 0.6343615632683014 ; parameters [0.50158726 0.50842385 0.20590279 0.2735794  0.20307329] 

 iteration number 4 ; error 0.006473362725727253 ; parameters [0.49993572 0.49997605 0.20590279 0.49846466 0.20307329] 

 iteration number 1 ; error 1.3421269352770597 ; parameters [0.1552779  0.49999458 0.63126803 1.         0.32899917] 

 iteration number 1 ; error 1.3422848348705096 ; parameters [0.80508523 0.49999345 0.4895297  1.         0.01454252] 

 iteration number 1 ; error 1.487446011097776 ; parameters [0.29015906 0.51630156 0.56039302 0.95686081 0.82037127] 

 iteration number 2 ; error 1.3415096842724719 ; parameters [0.29676425 0.49999387 0.56039302 1.         0.82037127] 

 iteration number 1 ; error 10.948409820484079 ; parameters [0.0670538  0.24418496 0.61562178 0.46419136 0.21271336] 

 iteration number 2 ; error 9.285364647068333 ; parameters [0.70631872 0.73143885 0.10287566 0.95144525 0.51532062] 

 iteration number 3 ; error 7.519328302920684 ; parameters [0.8963498  0.70938686 0.29290674 0.92939327 0.70535169] 

 iteration number 4 ; error 2.8975857147096153 ; parameters [0.82826272 0.43430386 0.2896971  0.50209489 0.70214204] 

 iteration number 5 ; error 1.3423655455383678 ; parameters [0.84393013 0.4999943  0.2896971  1.         0.70214204] 

 iteration number 1 ; error 16.67594882306668 ; parameters [0.04635105 0.08367161 0.18556762 0.75056729 0.18261212] 

 iteration number 2 ; error 9.035861266907057 ; parameters [0.71542644 0.28399946 0.85464302 0.41964268 0.38293996] 

 iteration number 3 ; error 6.699467605283783 ; parameters [0.09686611 0.66543913 0.31700346 0.80108235 0.76437964] 

 iteration number 4 ; error 5.02100529471281 ; parameters [0.60313757 0.6158866  0.32849841 0.73306295 0.77587458] 

 iteration number 5 ; error 4.835780634630294 ; parameters [0.02279234 0.6158866  0.32849841 0.73306295 0.77587458] 

 iteration number 6 ; error 1.3407500234785443 ; parameters [0.02440157 0.49999485 0.32849841 1.         0.77587458] 

 iteration number 1 ; error 9.645539620986016 ; parameters [0.35345972 0.28895839 0.10708862 0.24164212 0.57399993] 

 iteration number 2 ; error 9.298042699435605 ; parameters [0.13528524 0.30196389 0.88891414 0.02346765 0.35582546] 

 iteration number 3 ; error 1.3425531127750199 ; parameters [0.19456336 0.49999538 0.88891414 1.         0.35582546] 

 iteration number 1 ; error 8.145267226902575 ; parameters [0.45825921 0.31432114 0.89533995 0.50055991 0.25351951] 

 iteration number 2 ; error 2.511578971794687 ; parameters [0.09787569 0.5526906  0.63943179 0.77071269 0.78849326] 

 iteration number 3 ; error 1.341634603796862 ; parameters [0.15523287 0.49999464 0.63943179 1.         0.78849326] 

 iteration number 1 ; error 5.925641699145809 ; parameters [0.20228213 0.35653982 0.55866839 0.77132576 0.03769155] 

 iteration number 2 ; error 2.4542426701570927 ; parameters [0.59199607 0.44998381 0.94838233 0.86476974 0.13113553] 

 iteration number 3 ; error 1.2323771558133167 ; parameters [0.54118131 0.50006336 0.94838233 1.         0.13113553] 

